name,avg,var,count,color,rarity,legendary,x,y,freq
grateful_apparition,2.2817813765182184,1.4040000655640972,1235,W,uncommon,0,-0.08154340801400957,0.008230094943228017,4611
grim_initiate,9.106625536480687,10.235546231021708,7456,R,common,0,0.06951130106449474,-0.09419666908173391,22381
guild_globe,6.137290167865707,4.485348052493257,1668,C,common,0,0.007331755131372879,0.023444136487272452,7298
heartfire,7.8384776745579865,9.946340865024501,6674,R,common,0,0.07490766573535397,-0.10693180728091399,19256
heartwarming_redemption,9.56941309255079,15.498003493011431,1772,Multi,uncommon,0,0.0003131208889270044,-0.06829988032633419,5337
herald_of_the_dreadhorde,5.202178729689808,5.555320216209316,5416,B,common,0,0.05452725511725947,0.10377748069587321,14638
honor_the_god-pharaoh,9.427483196415235,9.347653934557071,6695,R,common,0,0.07370689222547291,-0.09161031449037263,20328
huatli's_raptor,7.146614821591949,15.30810153233293,4372,Multi,uncommon,0,-0.11500298228288344,-0.01642878414665794,11688
huatli_the_sun's_heart,3.9068825910931175,4.025067339791398,1482,Multi,uncommon,1,-0.0941320737044697,-0.005583946513048214,3945
ignite_the_beacon,7.011608623548922,14.120926599726632,1206,W,rare,0,-0.0442787613374942,0.008915164461445503,3266
ilharg_the_raze-boar,1.0,0.0,572,R,mythic,1,0.033025425558625254,-0.10261679449924721,1653
interplanar_beacon,5.962444771723122,5.941888573901236,1358,C,uncommon,0,-0.0013442997517583604,0.017626502437833046,4956
invade_the_city,9.256127652574436,14.961705748468763,6079,Multi,uncommon,0,0.07502616312905154,-0.03806699288531697,14457
invading_manticore,9.484684684684686,9.377092768444118,6660,R,common,0,0.05882728860704516,-0.09491736862683028,19541
iron_bully,8.45104977589054,6.442932962608466,4239,C,common,0,-0.012786880347192156,0.012049185545674641,16593
ironclad_krovod,11.752265397020427,5.227676867669167,6511,W,common,0,-0.046305911826687904,0.009657567301578405,20610
jace's_triumph,6.527825099375355,8.157232578154803,3522,U,uncommon,0,0.05963323553381642,0.02925785464619916,9350
jace_wielder_of_mysteries,1.0032967032967033,0.0032858350440768034,910,U,rare,1,0.0496721509037282,0.03186112231505541,2934
jaya's_greeting,1.6166068682726806,0.5162593221260713,1951,R,common,0,0.07760594179781694,-0.13155121273608095,7826
jaya_venerated_firemage,2.810363247863248,2.415426791127913,1872,R,uncommon,1,0.07137720518260768,-0.1262087595603712,5540
jiang_yanggu_wildcrafter,3.455300127713921,3.831015969948899,3132,G,uncommon,1,-0.10568172309241272,-0.0245991069482334,8842
karn's_bastion,1.7332490518331227,0.6456580909441074,791,C,rare,0,-0.02054031129699175,0.00029768738405727734,2000
karn_the_great_creator,4.734236888626989,9.790890298627446,1697,C,rare,1,-0.002146235221935741,0.013644553158716119,4917
kasmina's_transmutation,8.743006206710444,9.660948883023456,11117,U,common,0,0.043287051877023586,0.03178179648211626,31943
kasmina_enigmatic_mentor,2.1171910624715,1.3036397158891129,2193,U,uncommon,1,0.045101472839968675,0.028340159686824053,8142
kaya's_ghostform,11.153000945179585,7.791217364838427,8464,B,common,0,0.02594503708553308,0.0602194566605816,25074
kaya_bane_of_the_dead,1.3051643192488263,0.2439639401353347,1065,Multi,uncommon,1,-0.009948479997284886,0.06914631536805434,3340
kiora's_dambreaker,10.305479763528878,7.58323964022259,8796,U,common,0,0.03084730914056192,0.028986385865643213,26888
kiora_behemoth_beckoner,2.9837486457204765,2.221837735304233,1846,Multi,uncommon,1,-0.055325244810330916,-0.012450380638770362,4734
kraul_stinger,8.476373262739907,8.876576125400275,7555,G,common,0,-0.09634983182666974,-0.0156768461816178,22186
krenko_tin_street_kingpin,1.2483349191246431,0.3274829553838898,1051,R,rare,1,0.056155617736674046,-0.11554307828615022,3110
kronch_wrangler,8.13197094669457,9.390930339178066,8123,G,common,0,-0.09939827088504914,-0.03273043181821254,23222
law-rune_enforcer,3.1648815319701398,2.638182467302554,3081,W,common,0,-0.07497673681020528,0.005762532367095319,10949
lazotep_behemoth,9.798618784530387,8.022152788376424,3620,B,common,0,0.035675504553819785,0.08599544510745051,12166
lazotep_plating,6.618302227573751,8.158942572114244,3322,U,uncommon,0,0.06109125091035343,0.032633404233269554,9147
lazotep_reaver,4.672390722569134,4.350076264820262,4484,B,common,0,0.055233923030547104,0.10403617357707096,12292
leyline_prowler,4.918895092565384,10.264947118879824,3403,Multi,uncommon,0,-0.05329699548517607,0.05248628440434864,9164
liliana's_triumph,5.180106571936057,6.606637999299616,2815,B,uncommon,0,0.0475448189279243,0.08835770149439127,7248
liliana_dreadhorde_general,1.0,0.0,851,B,mythic,1,0.02793137555769207,0.07017313544276096,2357
living_twister,2.607253886010363,5.198082096163656,965,Multi,rare,0,-0.025585932676793335,-0.10276388881412538,3592
loxodon_sergeant,10.78884213807075,7.189166448042055,6417,W,common,0,-0.05754141696673431,0.00724869085012134,20481
makeshift_battalion,8.87882635068416,9.092807424917153,7089,W,common,0,-0.0691357808645973,0.0010342416524609557,20299
mana_geode,5.676615384615385,4.463114698224852,3250,C,common,0,-0.0008750645179324007,0.017445076820213186,12979
martyr_for_the_cause,7.668156808803301,8.224130440335346,5816,W,common,0,-0.07760026352566418,0.0064198362405399395,16727
massacre_girl,1.1081612586037364,0.1161280841234897,1017,B,rare,1,0.03629912243560071,0.0809917599922524,2836
mayhem_devil,7.360639021074099,16.025955811910393,2942,Multi,uncommon,0,0.08399161687823883,-0.023250788611429336,7795
merfolk_skydiver,6.846951735817104,15.657566914690044,4724,Multi,uncommon,0,-0.0484443457168028,0.0006523096323761466,13327
mizzium_tank,2.779527559055118,3.412459269362983,1143,R,rare,0,0.0797084401930289,-0.11810884691677007,3015
mobilized_district,1.8783783783783783,0.8365595325054787,518,C,rare,0,-0.008529037500351099,-0.0011780397250272538,1346
mowu_loyal_companion,2.5197865718096932,1.8654377490237748,2249,G,uncommon,1,-0.10892370510704057,-0.029685115897946292,7186
naga_eternal,12.011933513283136,4.192498591402787,7039,U,common,0,0.033804992828351664,0.02281245144621246,23100
nahiri's_stoneblades,10.662004662004662,8.596326362060628,5148,R,common,0,0.0506142017277143,-0.0980276747108721,16404
nahiri_storm_of_stone,1.9531116794543903,0.748867129045176,1173,Multi,uncommon,1,-0.010297125318007859,-0.06247209154607213,3730
narset's_reversal,3.9838709677419355,6.256563675658367,806,U,rare,0,0.056997073641286825,0.025942319106368374,2469
narset_parter_of_veils,7.441850683491062,11.695619708514252,4755,U,uncommon,1,0.0434485980014219,0.02202662665231282,14226
neheb_dreadhorde_champion,1.0095846645367412,0.00949279874245935,939,R,rare,1,0.057029709854545814,-0.10552445996065832,2630
neoform,11.367881548974943,10.04955306721461,5268,Multi,uncommon,0,-0.02532805981045603,0.0002403116311810422,14496
new_horizons,7.110097323600973,8.21932626790038,6576,G,common,0,-0.10058857864375358,-0.01647457702147677,18729
nicol_bolas_dragon-god,1.0025673940949935,0.0025608025825545728,779,Multi,mythic,1,0.06713762728236483,0.03841460637117587,3472
nissa's_triumph,5.306024096385542,6.7183974452024975,1245,G,uncommon,0,-0.10563297251734806,-0.029757580266455762,3580
nissa_who_shakes_the_world,1.0089365504915102,0.008856688556822966,1119,G,rare,1,-0.0919118268319289,-0.017408891045660787,3194
niv-mizzet_reborn,9.245584045584046,19.790970527836624,1755,Multi,mythic,1,-0.003241841254950041,0.005032484617054583,5329
no_escape,8.195548489666137,8.815178912195652,6290,U,common,0,0.05865275633529149,0.034058497847142113,18494
oath_of_kaya,2.7199751088985686,4.280017920973464,1607,Multi,rare,1,-0.014835378679559169,0.08009785854660702,4677
ob_nixilis's_cruelty,1.7279902853673346,0.6285000897659782,3294,B,common,0,0.04537511489885663,0.08980075853056918,10637
ob_nixilis_the_hate-twisted,3.59606656580938,3.4170193238594613,2644,B,uncommon,1,0.04285200728809458,0.08851164314634867,6970
paradise_druid,2.121495327102804,1.0456270954131028,1391,G,uncommon,0,-0.1053195464131217,-0.022235107427632825,5181
parhelion_ii,4.364460562103354,7.41023286857158,2206,W,rare,1,-0.05697579382750931,0.010576927851669717,5595
planewide_celebration,1.4210526315789473,0.469773504969855,646,G,rare,0,-0.10027623711269788,-0.018710929140599984,2300
pledge_of_unity,8.480060070081763,15.979287031265608,5993,Multi,uncommon,0,-0.10053585255590898,-0.011587252407008638,14012
pollenbright_druid,6.321629045742267,7.4636155475714885,8373,G,common,0,-0.10970752173385599,-0.02477335301499121,23379
pouncing_lynx,7.787859148844243,8.280336505544403,4629,W,common,0,-0.07199575056611209,-0.003361515452490801,13103
price_of_betrayal,4.055045871559633,4.0253269161610215,1199,B,uncommon,0,0.04538782539130895,0.09907320541260907,3310
primordial_wurm,9.997084048027444,8.367572972352738,5830,G,common,0,-0.08452741786706627,-0.019221955735929004,19567
prismite,9.64279112754159,6.3321984942650875,4328,C,common,0,-0.004806181411126438,0.01631879483582536,16961
prison_realm,1.3183079056865465,0.244727233904213,1442,W,uncommon,0,-0.06496692575898234,0.011576188592090794,5194
raging_kronch,7.355650319829424,9.413811357467916,4690,R,common,0,0.05660987922191861,-0.13625047942641033,13550
ral's_outburst,4.066139767054908,9.031815215074156,2404,Multi,uncommon,0,0.09003727833589795,-0.05228563174340018,9989
ral_storm_conduit,2.5085493656922226,5.025437112427894,1813,Multi,rare,1,0.07250812208304877,-0.04006520710348573,6896
rally_of_wings,10.453980099502488,10.306961770748247,3216,W,uncommon,0,-0.03793257405960489,0.0070640839142416915,9855
ravnica_at_war,7.220576773187841,13.395617126412972,1283,W,rare,0,-0.04286563604547144,0.014354954452386296,3680
relentless_advance,6.961961301671065,7.8782804101119375,4548,U,common,0,0.07647752637392025,0.039637851434224984,13316
rescuer_sphinx,2.191634980988593,1.152629646228802,1315,U,uncommon,0,0.05039359402136471,0.031964874424672794,5955
return_to_nature,11.765193001202084,5.274637277429313,7487,G,common,0,-0.06427530457058146,-0.01211829266026563,23928
rising_populace,8.658346333853354,8.983376776568724,7692,W,common,0,-0.06671896591220436,0.012511662876027896,21622
roalesk_apex_hybrid,1.00164744645799,0.0016447323781581724,607,Multi,mythic,1,-0.06294489942902065,-0.002748272196897027,1917
role_reversal,8.825334382376083,18.330624888188424,2542,Multi,rare,0,0.0593383221418694,-0.03217510727410364,6642
rubblebelt_rioters,7.738573259290901,16.628794034466484,2341,Multi,uncommon,0,-0.033584551561894466,-0.11048633391960226,6809
saheeli's_silverwing,8.680440771349863,6.3441628911200665,3630,C,common,0,-0.008124174393051041,0.015012594974733623,14290
saheeli_sublime_artificer,3.521654093322157,3.5437473617679616,3579,Multi,uncommon,1,0.07823416561199174,-0.03758754802230179,8349
samut's_sprint,11.095299090559754,7.943268538058607,7807,R,common,0,0.04495664970479099,-0.08720252595462769,23999
samut_tyrant_smasher,2.6872131147540985,1.7113446922870195,1525,Multi,uncommon,1,-0.03494161875515037,-0.0913402797406866,4186
sarkhan_the_masterless,1.0035555555555555,0.003542913580246913,1125,R,rare,1,0.053573298868421194,-0.09760337930955117,3091
