"","bot","pick_num","m","pack"
"160","RaredraftBot",25,0.37,1
"161","RaredraftBot",26,0.464,1
"162","RaredraftBot",27,0.59,1
"163","RaredraftBot",28,0.762,1
"164","RaredraftBot",29,0.934,1
"165","RaredraftBot",30,1,1
"166","RaredraftBot",31,0.304,2
"167","RaredraftBot",32,0.264,2
"168","RaredraftBot",33,0.26,2
"169","RaredraftBot",34,0.23,2
"170","RaredraftBot",35,0.2,2
"171","RaredraftBot",36,0.226,2
"172","RaredraftBot",37,0.236,2
"173","RaredraftBot",38,0.236,2
"174","RaredraftBot",39,0.27,2
"175","RaredraftBot",40,0.358,2
"176","RaredraftBot",41,0.484,2
"177","RaredraftBot",42,0.588,2
"178","RaredraftBot",43,0.724,2
"179","RaredraftBot",44,0.904,2
"180","RaredraftBot",45,1,2
